,mean_accessibility
0,19.6
1,20.4
2,62.25
3,44.7
4,53.1
5,76.1
6,70.94
7,84.3
8,70.44
9,66.8
10,26.3
11,28.97
12,29.48
13,26.56
14,31.03
15,35.56
16,27.5
17,27.66
18,29.45
19,29.34
20,28.95
21,26.67
22,30.62
23,28.42
24,29.86
25,29.53
26,30.73
27,31.84
28,30.48
29,30.8
30,27.25
31,29.55
32,28.06
33,28.6
34,36.53
35,34.2
36,25.56
37,24.58
38,30.86
39,28.17
40,22.47
41,26.53
42,24.31
43,22.42
44,22.6
45,24.08
46,23.19
47,24.03
48,25.14
49,28.53
50,27.03
51,32.5
52,43.1
53,37.8
54,29.69
55,24.2
56,25.5
57,24.47
58,26.1
59,26.48
60,24.12
61,26.23
62,28.38
63,27.75
64,25.5
65,27.69
66,24.2
67,20.31
68,21.31
69,21.16
70,21.38
71,19.2
72,20.55
73,18.84
74,19.03
75,20.81
76,19.78
77,19.83
78,20.02
79,35.5
80,47.56
81,117.1
82,63.25
83,94.75
84,97.9
85,95.6
86,84.6
87,84.75
88,96.8
89,72.56
90,72.75
91,84.1
92,59.97
93,60.06
94,72.75
95,55.47
96,53.4
97,38.97
98,58.06
99,44.47
100,103.8
101,64.4
102,92.56
103,82.5
104,72.3
105,59.28
106,46.6
107,39.0
108,55.44
109,48.12
110,48.3
111,63.9
112,60.78
113,96.56
114,92.56
115,82.9
116,75.94
117,46.5
118,80.94
119,79.94
120,73.1
121,33.28
122,62.56
123,47.88
124,54.62
125,44.3
126,52.06
127,43.03
128,61.25
129,53.1
130,47.66
131,39.28
132,60.66
133,83.5
134,70.25
135,56.78
136,96.44
137,69.75
138,82.5
139,68.8
140,55.62
141,41.72
142,69.44
143,57.66
144,47.66
145,68.6
146,55.25
147,44.6
148,62.75
149,54.38
150,42.84
151,56.78
152,59.3
153,43.38
154,56.94
155,51.2
156,66.8
157,69.44
158,81.4
159,73.25
160,55.2
161,48.34
162,66.6
163,42.22
164,60.3
165,61.47
166,43.78
167,32.5
168,46.8
169,50.75
170,45.1
171,31.83
172,53.94
173,30.39
174,55.9
175,43.47
176,34.1
177,49.03
178,55.84
179,45.1
180,52.1
181,49.06
182,40.94
183,44.8
184,60.03
185,52.84
186,46.2
187,49.75
188,47.9
189,49.66
190,42.3
191,53.72
192,43.12
193,40.22
194,45.97
195,59.5
196,99.06
197,86.6
198,75.94
199,65.0
200,47.3
201,37.44
202,39.88
203,43.1
204,41.8
205,35.9
206,36.9
207,42.12
208,35.8
209,35.34
210,35.38
211,36.0
212,35.25
213,37.2
214,33.97
215,36.3
216,35.25
217,41.44
218,37.2
219,35.44
220,36.06
221,34.1
222,34.06
223,33.3
224,35.0
225,40.62
226,33.56
227,33.53
228,36.75
229,34.66
230,33.62
231,34.78
232,35.03
233,35.22
234,35.06
235,36.53
236,34.0
237,32.6
238,35.2
239,35.03
240,34.84
241,34.8
242,35.16
243,34.1
244,33.78
245,34.56
246,36.47
247,35.1
248,30.81
249,38.7
250,35.94
251,26.67
252,38.28
253,30.75
254,27.31
255,30.42
256,32.53
257,42.16
258,35.44
259,34.28
260,33.3
261,31.19
262,36.7
263,35.4
264,37.53
265,54.84
266,84.2
267,61.6
268,73.9
269,52.34
270,75.1
271,64.9
272,81.7
273,75.9
274,84.1
275,86.1
276,36.4
277,50.12
278,76.2
279,79.5
280,68.5
281,57.7
282,65.25
283,32.44
284,67.9
285,60.2
286,50.28
287,41.25
288,39.78
289,49.38
290,58.97
291,81.6
292,47.25
293,35.1
294,74.25
295,39.56
296,52.22
297,63.06
298,57.5
299,64.94
300,71.2
301,33.38
302,40.06
303,41.16
304,55.97
305,37.34
306,48.1
307,49.7
308,44.88
309,31.3
310,39.78
311,46.22
312,35.78
313,38.22
314,36.25
315,32.2
316,33.25
317,45.47
318,43.94
319,31.97
320,47.16
321,40.72
322,35.1
323,39.56
324,34.03
325,59.5
326,38.4
327,28.92
328,23.44
329,26.56
330,29.9
331,46.94
332,18.94
333,35.06
334,35.0
335,35.75
336,35.53
337,34.78
338,36.97
339,34.9
340,34.53
341,28.36
342,26.94
343,27.42
344,27.72
345,26.94
346,27.42
347,27.44
348,27.73
349,26.89
350,26.64
351,27.28
352,25.95
353,26.67
354,28.03
355,28.05
356,28.31
357,31.39
358,28.47
359,27.75
360,28.9
361,29.25
362,30.94
363,28.77
364,31.73
365,39.3
366,32.22
367,31.66
368,37.1
369,32.6
370,32.12
371,31.0
372,31.27
373,31.19
374,38.72
375,24.53
376,20.64
377,19.16
378,33.6
379,21.66
380,17.88
381,18.84
382,18.52
383,18.67
384,18.62
385,23.97
386,24.34
387,27.23
388,27.64
389,25.78
390,37.16
391,19.88
392,28.38
393,23.83
394,23.92
395,38.03
396,39.12
397,30.94
398,31.83
399,32.3
400,60.34
401,39.28
402,37.3
403,35.38
404,35.44
405,50.03
406,67.4
407,46.75
408,38.12
409,57.75
410,52.75
411,39.16
412,57.75
413,30.84
414,39.84
415,40.25
416,45.75
417,45.75
418,57.6
419,42.25
420,48.9
421,43.1
422,40.28
423,33.5
424,35.4
425,43.28
426,36.3
427,41.94
428,51.38
429,35.72
430,38.53
431,55.0
432,54.03
433,53.25
434,53.0
435,39.84
436,25.02
437,70.8
438,57.84
439,55.56
440,46.47
441,40.97
442,41.78
443,46.5
444,64.4
445,56.9
446,59.62
447,57.34
448,66.8
449,27.1
450,27.11
451,25.67
452,24.9
453,27.14
454,31.2
455,28.83
456,30.02
457,31.0
458,34.22
459,65.75
460,28.22
461,26.62
462,26.2
463,28.14
464,37.44
465,49.28
466,40.56
467,68.94
468,69.8
469,39.2
470,45.66
471,62.78
472,53.06
473,48.75
474,32.56
475,33.06
476,33.44
477,41.72
478,45.75
479,30.67
480,30.53
481,41.25
482,27.17
483,27.56
484,29.12
485,29.03
486,37.34
487,39.88
488,28.03
489,33.38
490,46.88
491,37.4
492,37.06
493,41.84
494,30.94
495,31.58
496,30.48
497,38.66
498,42.25
499,31.27
500,45.62
501,24.31
502,37.44
503,28.03
504,24.89
505,40.5
506,42.53
507,34.75
508,37.75
509,25.05
510,28.1
511,28.27
512,45.34
513,62.5
514,65.8
515,37.16
516,29.8
517,53.06
518,61.66
519,37.2
520,32.7
521,38.38
522,49.84
523,34.7
524,42.53
525,35.1
526,31.94
527,29.95
528,36.78
529,24.77
530,29.34
531,29.11
532,32.4
533,29.33
534,24.52
535,29.8
536,27.25
537,31.03
538,30.05
539,28.05
540,27.94
541,26.22
542,29.45
543,30.22
544,31.06
545,30.81
546,35.38
547,29.56
548,26.64
549,30.2
550,26.03
551,37.9
552,38.47
553,17.97
554,18.53
555,20.33
556,23.92
557,21.75
558,21.17
559,20.95
560,18.8
561,19.1
562,17.9
563,20.14
564,19.66
565,20.45
566,19.19
567,19.23
568,19.92
569,21.1
570,20.89
571,22.19
572,17.88
573,18.69
574,17.58
575,18.94
576,18.72
577,18.6
578,17.94
579,20.02
580,18.77
581,20.16
582,19.94
583,20.36
584,18.55
585,18.19
586,17.44
587,17.47
588,17.89
589,18.42
590,18.66
591,23.3
592,18.19
593,18.0
594,17.44
595,18.28
596,19.1
597,18.4
598,25.45
599,20.84
600,20.17
601,19.56
602,21.2
603,21.14
604,41.66
605,19.1
606,18.66
607,25.47
608,21.23
609,19.75
610,18.75
611,17.88
612,19.81
613,20.47
614,18.28
615,19.98
616,18.94
617,18.48
618,18.77
619,18.61
620,18.94
621,19.16
622,18.53
623,20.47
624,18.84
625,18.2
626,18.4
627,18.8
628,18.73
629,18.64
630,18.55
631,19.47
632,19.1
633,20.39
634,19.84
635,19.97
636,20.22
637,19.8
638,19.44
639,19.38
640,18.94
641,19.31
642,19.27
643,19.22
644,18.89
645,18.9
646,19.05
647,19.17
648,17.95
649,18.28
650,18.08
651,18.44
652,18.78
653,18.83
654,19.28
655,18.52
656,19.03
657,18.5
658,19.38
659,20.7
660,19.14
661,20.56
662,18.8
663,18.5
664,20.48
665,19.56
666,19.27
667,19.17
668,19.08
669,19.61
670,18.6
671,18.53
672,17.98
673,19.02
674,18.95
675,18.84
676,18.22
677,19.23
678,18.62
679,18.48
680,19.25
681,18.53
682,18.36
683,18.66
684,18.62
685,18.88
686,19.31
687,19.5
688,19.48
689,17.72
690,19.05
691,18.83
692,17.98
693,18.2
694,19.06
695,18.19
696,18.16
697,18.72
698,18.67
699,18.44
700,18.42
701,18.47
702,17.84
703,18.34
704,18.4
705,18.08
706,18.17
707,18.22
708,19.19
709,18.98
710,18.2
711,18.33
712,18.7
713,18.77
714,18.53
715,19.47
716,18.6
717,18.42
718,18.06
719,18.64
720,17.95
721,18.55
722,18.64
723,17.89
724,18.39
725,18.39
726,18.75
727,18.5
728,18.48
729,18.4
730,18.1
731,18.12
732,18.61
733,19.34
734,18.55
735,18.28
736,18.38
737,18.67
738,18.25
739,17.52
740,18.62
741,18.47
742,19.02
743,19.22
744,18.53
745,17.42
746,18.38
747,18.08
748,18.38
749,18.1
750,18.27
751,18.22
752,18.23
753,18.19
754,17.5
755,17.84
756,17.48
757,17.48
758,20.11
759,19.84
760,17.94
761,21.98
762,19.23
763,18.81
764,18.62
765,18.84
766,19.06
767,19.98
768,19.67
769,18.28
770,17.9
771,18.73
772,18.86
773,18.36
774,18.48
775,19.08
776,18.64
777,19.31
778,19.47
779,19.89
780,18.7
781,18.81
782,18.7
783,18.53
784,18.52
785,18.55
786,18.52
787,18.4
788,18.42
789,18.44
790,18.53
791,17.56
792,18.48
793,18.58
794,19.06
795,21.28
796,20.1
797,18.86
798,18.97
799,18.8
800,19.4
801,18.06
802,18.88
803,19.02
804,18.75
805,18.75
806,18.48
807,18.94
808,18.48
809,18.34
810,17.97
811,18.39
812,18.66
813,18.77
814,18.81
815,18.77
816,18.86
817,18.88
818,18.83
819,18.95
820,19.3
821,19.48
822,18.06
823,17.56
824,18.19
825,18.45
826,17.97
827,18.58
828,19.14
829,18.42
830,18.61
831,18.66
832,18.55
833,18.34
834,18.14
835,18.08
836,18.69
837,19.22
838,18.48
839,19.39
840,19.16
841,19.06
842,18.73
843,19.0
844,18.55
845,19.25
846,18.73
847,18.62
848,18.86
849,27.28
850,50.72
851,19.48
852,22.77
853,19.86
854,20.64
855,21.84
856,20.67
857,22.64
858,19.39
859,20.38
860,19.77
861,31.28
862,31.94
863,32.3
864,32.34
865,26.25
866,22.53
867,24.75
868,21.22
869,28.3
870,27.0
871,27.47
872,20.17
873,20.81
874,20.48
875,18.69
876,18.8
877,17.69
878,18.66
879,18.47
880,18.38
881,18.52
882,18.33
883,17.83
884,18.53
885,18.48
886,18.53
887,18.55
888,18.31
889,17.89
890,20.56
891,20.38
892,18.88
893,19.08
894,18.97
895,18.3
896,18.52
897,18.2
898,18.4
899,19.0
900,19.23
901,20.05
902,18.84
903,18.84
904,18.02
905,18.58
906,18.84
907,17.92
908,18.75
909,18.69
910,18.28
911,19.17
912,18.86
913,18.7
914,18.72
915,18.73
916,18.39
917,18.66
918,18.75
919,20.34
920,19.36
921,20.94
922,19.23
923,20.23
924,20.6
925,19.39
926,21.0
927,20.38
928,20.25
929,21.34
930,22.94
931,18.6
932,19.75
933,20.1
934,18.38
935,18.81
936,18.23
937,18.38
938,19.22
939,18.25
940,22.27
941,23.22
942,26.05
943,20.47
944,21.22
945,21.98
946,21.47
947,18.52
948,18.97
949,17.77
950,18.45
951,18.75
952,18.78
953,18.6
954,18.66
955,18.56
956,18.7
957,18.14
958,18.4
959,17.95
960,18.17
961,17.69
962,17.6
963,18.48
964,18.88
965,18.27
966,19.39
967,18.69
968,18.83
969,18.94
970,18.45
971,18.23
972,18.44
973,18.33
974,19.11
975,18.62
976,18.72
977,18.88
978,19.45
979,19.97
980,20.28
981,21.11
982,21.45
983,19.23
984,20.92
985,21.05
986,18.36
987,19.66
988,19.23
989,18.88
990,19.14
991,19.86
992,20.73
993,21.2
994,18.77
995,19.06
996,19.33
997,20.25
998,18.84
999,18.4
1000,19.88
1001,18.89
1002,19.03
1003,18.95
1004,18.92
1005,21.48
1006,19.67
1007,19.83
1008,20.25
1009,19.89
1010,19.1
1011,20.75
1012,19.0
1013,19.05
1014,18.84
1015,19.22
1016,19.88
1017,19.6
1018,18.48
1019,19.38
1020,18.48
1021,19.45
1022,19.61
1023,19.66
