,median_accessibility
0,16.0
1,17.36
2,60.6
3,42.94
4,51.38
5,74.6
6,69.3
7,82.75
8,68.9
9,65.2
10,23.25
11,25.88
12,25.9
13,24.25
14,29.02
15,33.53
16,25.47
17,25.64
18,27.4
19,27.38
20,26.95
21,24.61
22,28.98
23,26.73
24,28.19
25,27.84
26,29.1
27,30.19
28,28.83
29,29.14
30,25.58
31,27.9
32,26.39
33,26.94
34,34.9
35,32.56
36,23.38
37,22.39
38,27.69
39,25.0
40,19.56
41,23.67
42,21.12
43,18.42
44,18.47
45,20.69
46,19.8
47,20.5
48,21.83
49,25.42
50,23.83
51,29.17
52,39.75
53,34.5
54,26.33
55,21.03
56,22.36
57,21.34
58,23.0
59,23.39
60,20.78
61,23.1
62,25.25
63,24.84
64,22.89
65,25.08
66,21.28
67,16.12
68,17.12
69,18.3
70,18.53
71,15.19
72,16.6
73,14.25
74,14.484
75,16.33
76,15.414
77,15.5
78,15.734
79,32.34
80,46.38
81,115.8
82,61.84
83,93.9
84,96.2
85,94.75
86,83.6
87,83.8
88,95.6
89,71.5
90,71.75
91,82.9
92,58.88
93,58.97
94,71.5
95,54.12
96,52.0
97,37.75
98,56.66
99,42.97
100,103.0
101,63.1
102,91.6
103,81.06
104,70.94
105,57.94
106,45.2
107,37.53
108,54.16
109,46.72
110,46.9
111,62.53
112,59.44
113,93.3
114,89.5
115,79.9
116,72.9
117,45.06
118,77.9
119,76.9
120,72.0
121,31.5
122,61.3
123,46.5
124,52.94
125,41.8
126,49.6
127,40.7
128,58.8
129,50.75
130,45.0
131,36.84
132,57.53
133,82.4
134,69.06
135,55.47
136,95.5
137,66.7
138,81.44
139,67.6
140,54.3
141,39.94
142,67.8
143,56.0
144,45.88
145,67.4
146,53.56
147,42.88
148,61.5
149,52.7
150,41.12
151,55.5
152,58.0
153,41.66
154,55.62
155,49.84
156,63.75
157,68.25
158,80.3
159,72.1
160,52.75
161,45.88
162,63.53
163,39.88
164,59.03
165,60.2
166,41.4
167,30.12
168,45.44
169,49.38
170,42.72
171,29.45
172,52.6
173,27.98
174,54.6
175,41.1
176,31.72
177,47.62
178,54.53
179,43.38
180,50.72
181,47.38
182,38.56
183,43.38
184,58.75
185,51.38
186,44.72
187,48.3
188,46.4
189,48.28
190,40.9
191,52.3
192,41.8
193,38.8
194,44.62
195,58.16
196,98.1
197,85.6
198,74.9
199,63.94
200,46.12
201,35.97
202,38.1
203,41.03
204,40.03
205,34.12
206,35.12
207,40.38
208,34.06
209,33.56
210,33.6
211,34.22
212,33.47
213,35.44
214,32.16
215,34.53
216,33.44
217,39.62
218,35.4
219,33.62
220,34.28
221,32.3
222,32.25
223,31.53
224,33.22
225,38.8
226,31.73
227,31.72
228,34.94
229,32.88
230,31.83
231,32.94
232,33.2
233,33.4
234,33.25
235,34.75
236,32.2
237,30.77
238,33.4
239,33.25
240,33.06
241,33.03
242,33.38
243,32.3
244,32.0
245,32.75
246,34.7
247,33.3
248,28.45
249,35.94
250,33.16
251,23.38
252,35.62
253,28.38
254,24.53
255,27.12
256,29.73
257,39.4
258,32.7
259,31.81
260,30.61
261,28.47
262,34.94
263,32.94
264,35.22
265,53.38
