,population,capacity,capacity_within,population_within,load,provision
0,9956,0,0,1288057,,0.0
1,38,0,0,1031500,,0.0
2,0,0,0,0,,
3,0,0,0,0,,
4,0,0,0,0,,
5,0,0,0,0,,
6,0,0,0,0,,
7,0,0,0,0,,
8,0,0,0,0,,
9,0,0,0,0,,
10,0,0,0,148401,,
11,0,0,0,62065,,
12,0,0,0,35360,,
13,0,0,0,68450,,
14,0,0,0,433,,
15,0,0,0,237,,
16,0,0,0,53371,,
17,0,0,0,49878,,
18,0,0,0,17981,,
19,0,0,0,19372,,
20,0,0,0,23956,,
21,0,0,0,63590,,
22,0,0,0,9514,,
23,0,0,0,32763,,
24,0,0,0,18866,,
25,0,0,0,19139,,
26,0,0,0,9514,,
27,0,0,0,1824,,
28,0,0,0,9514,,
29,0,0,0,1824,,
30,0,0,0,51656,,
31,0,0,0,19139,,
32,0,0,0,37628,,
33,0,0,0,30322,,
34,0,0,0,0,,
35,0,0,0,235,,
36,0,0,0,91958,,
37,0,0,0,123144,,
38,0,0,0,28378,,
39,0,0,0,69594,,
40,0,0,0,545692,,
41,0,0,0,138267,,
42,0,0,0,301955,,
43,0,0,0,783397,,
44,7,0,0,777276,,0.0
45,251,0,0,409932,,0.0
46,0,0,0,508808,,
47,972,0,0,424493,,0.0
48,1457,0,0,255235,,0.0
49,0,0,0,72284,,
50,0,0,0,66429,,
51,0,0,0,77610,,
52,0,0,0,0,,
53,0,0,0,0,,
54,0,0,0,184182,,
55,169,0,0,554910,,0.0
56,0,0,0,407140,,
57,56,0,0,506087,,0.0
58,137,0,0,321336,,0.0
59,932,0,0,296038,,0.0
60,35,0,0,587830,,0.0
61,0,0,0,318935,,
62,0,0,0,204679,,
63,0,0,0,215291,,
64,0,0,0,325022,,
65,0,0,0,205317,,
66,203,0,0,507086,,0.0
67,246,0,0,1146150,,0.0
68,0,0,0,1097858,,
69,160,0,0,753025,,0.0
70,87,0,0,679053,,0.0
71,4934,0,0,1367336,,0.0
72,903,0,0,1222878,,0.0
73,5658,0,0,1404400,,0.0
74,0,0,0,1389329,,
75,869,0,0,1206021,,0.0
76,54,0,0,1325950,,0.0
77,10,0,0,1257942,,0.0
78,52,0,0,1221752,,0.0
79,3,0,0,3,,0.0
80,0,0,0,0,,
81,0,0,0,0,,
82,0,0,0,0,,
83,0,0,0,0,,
84,0,0,0,0,,
85,0,0,0,0,,
86,0,0,0,0,,
87,0,0,0,0,,
88,0,0,0,0,,
89,0,0,0,0,,
90,0,0,0,0,,
91,0,0,0,0,,
92,0,0,0,0,,
93,0,0,0,0,,
94,0,0,0,0,,
95,0,0,0,0,,
96,0,0,0,0,,
97,0,0,0,0,,
98,0,0,0,0,,
99,0,0,0,0,,
100,0,0,0,0,,
101,0,0,0,0,,
102,0,0,0,0,,
103,0,0,0,0,,
104,0,0,0,0,,
105,0,0,0,0,,
106,0,0,0,84,,
107,0,0,0,0,,
108,0,0,0,14,,
109,0,0,0,47,,
110,0,0,0,84,,
111,0,0,0,0,,
112,0,0,0,85,,
113,0,0,0,0,,
114,0,0,0,0,,
115,0,0,0,0,,
116,0,0,0,0,,
117,0,0,0,0,,
118,0,0,0,0,,
119,0,0,0,0,,
120,0,0,0,0,,
121,0,0,0,0,,
122,0,0,0,0,,
123,0,0,0,0,,
124,0,0,0,0,,
125,0,0,0,0,,
126,0,0,0,0,,
127,0,0,0,0,,
128,0,0,0,0,,
129,0,0,0,0,,
130,0,0,0,0,,
131,0,0,0,0,,
132,0,0,0,0,,
133,0,0,0,0,,
134,0,0,0,0,,
135,0,0,0,0,,
136,0,0,0,0,,
137,0,0,0,0,,
138,0,0,0,0,,
139,0,0,0,0,,
140,0,0,0,0,,
141,0,0,0,0,,
142,0,0,0,0,,
143,0,0,0,0,,
144,0,0,0,0,,
145,0,0,0,0,,
146,0,0,0,0,,
147,0,0,0,0,,
